"","MSSubClass","MSZoning","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","TotalBsmtSF","HeatingQC","CentralAir","GrLivArea","KitchenQual","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageArea","GarageQual","GarageCond","PavedDrive","Fence","SaleType","SaleCondition","SalePrice","BeenRemod","EraBuilt","Pool","TotBathrooms","TotPorch"
"11","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","5",1965,"Hip","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",906,"Unf",1040,"Ex","Y",1040,"TA","Typ",0,"No","Detchd","Unf",384,"TA","TA","Y","None","WD","Normal",11.7714361601217,"FALSE","1960s","FALSE",2,0
"12","60","RL","NoAlley","IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story","9","5",2006,"Hip","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf",1175,"Ex","Y",2324,"Ex","Typ",2,"Gd","BuiltIn","Fin",736,"TA","TA","Y","None","New","Partial",12.7512996960135,"TRUE","2000s","FALSE",4,168
"13","20","RL","NoAlley","IR2","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","6",1962,"Hip","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",737,"Unf",912,"TA","Y",912,"TA","Typ",0,"No","Detchd","Unf",352,"TA","TA","Y","None","WD","Normal",11.8775685785581,"FALSE","1960s","FALSE",2,316
"14","20","RL","NoAlley","IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story","7","5",2007,"Gable","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",1494,"Ex","Y",1494,"Gd","Typ",1,"Gd","Attchd","RFn",840,"TA","TA","Y","None","New","Partial",12.5407575715773,"TRUE","2000s","FALSE",2,193
"15","20","RL","NoAlley","IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story","6","5",1960,"Hip","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",733,"Unf",1253,"TA","Y",1253,"TA","Typ",1,"Fa","Attchd","RFn",352,"TA","TA","Y","GdWo","WD","Normal",11.9640010843304,"FALSE","1960s","FALSE",2.5,389
"16","45","RM","NoAlley","Reg","Lvl","Corner","Gtl","BrkSide","Norm","1Fam","1.5Unf","7","8",2001,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",832,"Ex","Y",854,"TA","Typ",0,"No","Detchd","Unf",576,"TA","TA","Y","GdPrv","WD","Normal",11.7905572015685,"TRUE","1920s","FALSE",1,160
"17","20","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story","6","7",1970,"Gable","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ",578,"Unf",1004,"Ex","Y",1004,"TA","Typ",1,"TA","Attchd","Fin",480,"TA","TA","Y","None","WD","Normal",11.9117015849276,"FALSE","1970s","FALSE",2,0
"18","90","RL","NoAlley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","Duplex","1Story","4","5",1967,"Gable","MetalSd","MetalSd","None",0,"TA","TA","Slab","No","No","No","No",0,"No",0,"TA","Y",1296,"TA","Typ",0,"No","CarPort","Unf",516,"TA","TA","Y","None","WD","Normal",11.4075649493124,"FALSE","1960s","FALSE",2,0
"19","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","SawyerW","RRAe","1Fam","1Story","5","5",2004,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",646,"Unf",1114,"Ex","Y",1114,"Gd","Typ",0,"No","Detchd","Unf",576,"TA","TA","Y","None","WD","Normal",11.9766594812024,"FALSE","2000s","FALSE",2.5,102
"20","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","6",1965,"Hip","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",504,"Unf",1029,"TA","Y",1339,"TA","Min1",0,"No","Attchd","Unf",294,"TA","TA","Y","MnPrv","COD","Abnorml",11.8422292121128,"TRUE","1950s","FALSE",1,0
"21","60","RL","NoAlley","IR1","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","2Story","8","5",2006,"Gable","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",1158,"Ex","Y",2376,"Gd","Typ",1,"Gd","BuiltIn","RFn",853,"TA","TA","Y","None","New","Partial",12.6925031124614,"TRUE","2000s","FALSE",3.5,394
"22","45","RM","Grvl","Reg","Bnk","Inside","Gtl","IDOTRR","Norm","1Fam","1.5Unf","7","7",1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",637,"Ex","Y",1108,"Gd","Typ",1,"Gd","Attchd","Unf",280,"TA","TA","N","GdPrv","WD","Normal",11.8451027773086,"TRUE","1930s","FALSE",1,205
"23","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story","8","5",2002,"Hip","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",1777,"Ex","Y",1795,"Gd","Typ",1,"Gd","Attchd","RFn",534,"TA","TA","Y","None","WD","Normal",12.3458345879053,"FALSE","2000s","FALSE",2,330
"24","120","RM","NoAlley","Reg","Lvl","Inside","Gtl","MeadowV","Norm","TwnhsE","1Story","5","7",1976,"Gable","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",840,"Unf",1040,"TA","Y",1060,"TA","Typ",1,"TA","Attchd","Unf",572,"TA","TA","Y","None","WD","Normal",11.7745202026587,"FALSE","1970s","FALSE",2,210
"25","20","RL","NoAlley","IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","8",2001,"Gable","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",188,"ALQ",1060,"Ex","Y",1060,"Gd","Typ",1,"TA","Attchd","Unf",270,"TA","TA","Y","MnPrv","WD","Normal",11.9447078813958,"TRUE","1960s","FALSE",2,496
"26","20","RL","NoAlley","Reg","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","1Story","8","5",2007,"Gable","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",1566,"Ex","Y",1600,"Gd","Typ",1,"Gd","Attchd","RFn",890,"TA","TA","Y","None","WD","Normal",12.4541039123522,"FALSE","2000s","FALSE",2,56
"27","20","RL","NoAlley","Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story","5","7",2000,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",234,"Rec",900,"TA","Y",900,"Gd","Typ",0,"No","Detchd","Unf",576,"TA","TA","Y","None","WD","Normal",11.8115474774603,"TRUE","1950s","FALSE",1.5,254
"28","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story","8","5",2008,"Gable","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ",1218,"Unf",1704,"Ex","Y",1704,"Gd","Typ",1,"Gd","Attchd","RFn",772,"TA","TA","Y","None","WD","Normal",12.6313403809345,"TRUE","2000s","FALSE",3,50
"29","20","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story","5","6",1997,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",1277,"Unf",1484,"TA","Y",1600,"TA","Typ",2,"Gd","Attchd","RFn",319,"TA","TA","Y","None","WD","Normal",12.2428866186529,"TRUE","1950s","FALSE",2,546
"30","30","RM","NoAlley","IR1","Lvl","Inside","Gtl","BrkSide","Feedr","1Fam","1Story","4","6",1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",520,"Fa","N",520,"Fa","Typ",0,"No","Detchd","Unf",240,"Fa","TA","Y","None","WD","Normal",11.1345890242503,"TRUE","1920s","FALSE",1,136
"31","70","C (all)","Pave","Reg","Lvl","Inside","Gtl","IDOTRR","Feedr","1Fam","2Story","4","4",1950,"Gambrel","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",649,"TA","N",1317,"TA","Typ",0,"No","Detchd","Unf",250,"TA","Fa","N","MnPrv","WD","Normal",10.5966347330961,"TRUE","1920s","FALSE",1,226
"32","20","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","Sawyer","Norm","1Fam","1Story","5","6",2006,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",1228,"Gd","Y",1228,"Gd","Typ",0,"No","Attchd","Unf",271,"TA","TA","Y","MnPrv","WD","Normal",11.9140478236443,"TRUE","1960s","FALSE",1.5,65
"33","20","RL","NoAlley","Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story","8","5",2007,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",1234,"Ex","Y",1234,"Gd","Typ",0,"No","Attchd","RFn",484,"TA","TA","Y","None","WD","Normal",12.1001564199386,"FALSE","2000s","FALSE",2,30
"34","20","RL","NoAlley","IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","5",1959,"Hip","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",1018,"Unf",1398,"Gd","Y",1700,"Gd","Typ",1,"Gd","Attchd","RFn",447,"TA","TA","Y","None","WD","Normal",12.0167264737993,"FALSE","1950s","FALSE",2,38
"35","120","RL","NoAlley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story","9","5",2005,"Hip","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ",1153,"Unf",1561,"Ex","Y",1561,"Ex","Typ",1,"Gd","Attchd","Fin",556,"TA","TA","Y","None","WD","Normal",12.5335762121686,"FALSE","2000s","FALSE",3,250
"36","60","RL","NoAlley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story","8","5",2005,"Gable","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",1117,"Ex","Y",2452,"Gd","Typ",1,"Gd","BuiltIn","Fin",691,"TA","TA","Y","None","WD","Normal",12.6410965558799,"TRUE","2000s","FALSE",3.5,145
"37","20","RL","NoAlley","Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story","5","5",1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",1097,"Ex","Y",1097,"TA","Typ",0,"No","Attchd","Unf",672,"TA","TA","Y","None","WD","Normal",11.8844890214027,"TRUE","1990s","FALSE",1.5,456
"38","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","6",1990,"Hip","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","TA","No","Rec",1213,"Unf",1297,"Gd","Y",1297,"TA","Typ",1,"TA","Attchd","Fin",498,"TA","TA","Y","None","WD","Normal",11.9381932003746,"TRUE","1950s","FALSE",1.5,0
"39","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","7",2007,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ",731,"Unf",1057,"TA","Y",1057,"Gd","Typ",0,"No","Detchd","Unf",246,"TA","TA","Y","None","WD","Abnorml",11.5991031612113,"TRUE","1950s","FALSE",2,52
"40","90","RL","NoAlley","Reg","Lvl","Inside","Gtl","Edwards","Norm","Duplex","1Story","4","5",1955,"Gable","AsbShng","Plywood","None",0,"TA","TA","PConc","No","No","No","No",0,"No",0,"TA","N",1152,"Fa","Typ",0,"No","NoGarage","NoGarage",0,"NoGarage","NoGarage","N","None","WD","AdjLand",11.3144745262464,"FALSE","1950s","FALSE",2,0
"41","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","6","5",1965,"Gable","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec",643,"Unf",1088,"Ex","Y",1324,"TA","Typ",1,"TA","Attchd","RFn",440,"TA","TA","Y","GdWo","WD","Abnorml",11.982929094216,"FALSE","1960s","FALSE",2,138
"42","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","Timber","Norm","1Fam","1Story","5","6",1959,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ",967,"Unf",1350,"Gd","Y",1328,"TA","Typ",2,"Gd","Attchd","RFn",308,"TA","TA","P","None","WD","Normal",12.0435537160324,"FALSE","1950s","FALSE",2,104
"43","85","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","SawyerW","Norm","1Fam","SFoyer","5","7",1983,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",747,"LwQ",840,"Gd","Y",884,"Gd","Typ",0,"No","Attchd","RFn",504,"TA","Gd","Y","MnPrv","WD","Normal",11.8775685785581,"FALSE","1980s","FALSE",2,240
"44","20","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","CollgCr","Norm","1Fam","1Story","5","6",1980,"Hip","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ",280,"BLQ",938,"TA","Y",938,"TA","Typ",0,"No","Detchd","Unf",308,"TA","TA","Y","MnPrv","WD","Normal",11.7772109596156,"TRUE","1970s","FALSE",2,145
"45","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","6",1959,"Gable","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",179,"BLQ",1150,"Ex","Y",1150,"TA","Typ",0,"No","Attchd","RFn",300,"TA","TA","Y","None","WD","Normal",11.8565151693603,"FALSE","1950s","FALSE",2,0
"46","120","RL","NoAlley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story","9","5",2005,"Hip","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex","TA","No","GLQ",456,"Unf",1752,"Ex","Y",1752,"Ex","Typ",1,"Gd","Attchd","RFn",576,"TA","TA","Y","None","WD","Normal",12.6757637259376,"FALSE","2000s","FALSE",3,278
"47","50","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","Mitchel","Norm","1Fam","1.5Fin","7","5",2003,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ",1351,"Unf",1434,"Ex","Y",2149,"Gd","Typ",1,"Ex","Attchd","RFn",670,"TA","TA","Y","None","WD","Abnorml",12.3870850123755,"FALSE","2000s","FALSE",2.5,409
"48","20","FV","NoAlley","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story","8","5",2006,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf",1656,"Ex","Y",1656,"Gd","Typ",0,"No","Attchd","RFn",826,"TA","TA","Y","None","WD","Normal",12.4280154762679,"FALSE","2000s","FALSE",2,146
"49","190","RM","NoAlley","Reg","Lvl","Inside","Gtl","OldTown","Norm","2fmCon","2Story","4","5",2008,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",736,"Gd","Y",1452,"TA","Typ",0,"No","NoGarage","NoGarage",0,"NoGarage","NoGarage","N","None","New","Partial",11.6351430976945,"TRUE","1920s","FALSE",2,102
"50","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","7",1966,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",763,"Unf",955,"Ex","Y",955,"TA","Typ",0,"No","Attchd","Unf",386,"TA","TA","Y","MnPrv","WD","Normal",11.7519423654407,"FALSE","1960s","FALSE",2,0
"51","60","RL","NoAlley","IR2","Lvl","Corner","Gtl","Gilbert","Norm","1Fam","2Story","6","6",1997,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ",182,"Unf",794,"Gd","Y",1470,"TA","Typ",0,"No","Attchd","Fin",388,"TA","TA","Y","None","WD","Normal",12.083905011556,"FALSE","1990s","FALSE",2.5,75
"52","50","RM","NoAlley","Reg","Lvl","Inside","Gtl","BrkSide","Norm","1Fam","1.5Fin","6","6",1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",816,"TA","Y",1176,"TA","Typ",1,"Gd","Detchd","Unf",528,"TA","TA","Y","MnPrv","WD","Normal",11.6483301019764,"TRUE","1930s","FALSE",1,112
"53","90","RM","NoAlley","IR2","Bnk","Corner","Mod","IDOTRR","RRNn","Duplex","1Story","5","5",1963,"Gable","Wd Sdng","Wd Sdng","None",0,"Fa","TA","CBlock","Gd","TA","Gd","LwQ",104,"GLQ",816,"TA","N",816,"TA","Typ",0,"No","CarPort","Unf",516,"TA","TA","Y","None","WD","Normal",11.6082356447746,"FALSE","1960s","FALSE",2,106
"54","20","RL","NoAlley","IR1","Low","Inside","Gtl","Veenker","Norm","1Fam","1Story","9","5",1987,"Gable","WdShing","Wd Shng","None",0,"Gd","TA","CBlock","Ex","TA","Gd","GLQ",1810,"Unf",1842,"Gd","Y",1842,"Gd","Typ",1,"Gd","Attchd","Fin",894,"TA","TA","Y","None","WD","Normal",12.8609986132699,"TRUE","1980s","FALSE",2.5,929
"55","80","RL","NoAlley","Reg","Bnk","Inside","Mod","NAmes","Norm","1Fam","SLvl","5","5",1955,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",384,"Unf",384,"TA","Y",1360,"TA","Min1",1,"TA","Detchd","Unf",572,"TA","TA","Y","MnPrv","WD","Normal",11.7752897294377,"FALSE","1950s","FALSE",1,50
"56","20","RL","NoAlley","IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","6","5",1964,"Gable","HdBoard","Plywood","BrkFace",272,"TA","TA","CBlock","TA","TA","No","BLQ",490,"Unf",1425,"Gd","Y",1425,"TA","Typ",1,"Gd","Attchd","RFn",576,"TA","TA","Y","None","WD","Normal",12.1034860567551,"FALSE","1960s","FALSE",2,407
"57","160","FV","Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","Twnhs","2Story","8","5",2000,"Gable","MetalSd","MetalSd","BrkFace",456,"Gd","TA","PConc","Gd","TA","No","GLQ",649,"Unf",970,"Ex","Y",1739,"Gd","Typ",0,"No","Attchd","Fin",480,"TA","TA","Y","None","WD","Abnorml",12.0581525154536,"TRUE","1990s","FALSE",3.5,115
"58","60","RL","NoAlley","IR1","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","2Story","7","5",2004,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",860,"Ex","Y",1720,"Gd","Typ",0,"No","Attchd","RFn",565,"TA","TA","Y","None","WD","Normal",12.1884177102915,"FALSE","2000s","FALSE",2.5,70
"59","60","RL","NoAlley","IR2","HLS","CulDSac","Gtl","StoneBr","Norm","1Fam","2Story","10","5",2006,"Hip","VinylSd","VinylSd","BrkFace",1031,"Ex","TA","PConc","Ex","TA","Gd","Unf",0,"Unf",1410,"Ex","Y",2945,"Gd","Typ",1,"Gd","BuiltIn","Fin",641,"TA","TA","Y","None","New","Partial",12.9917534274931,"FALSE","2000s","FALSE",3.5,229
"60","20","RL","NoAlley","Reg","Bnk","Inside","Gtl","CollgCr","Norm","1Fam","1Story","5","7",1972,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",632,"Unf",780,"Ex","Y",780,"TA","Typ",0,"No","Detchd","Unf",352,"TA","TA","Y","MnPrv","WD","Normal",11.7352686961137,"FALSE","1970s","FALSE",1,196
"61","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","SawyerW","RRAe","1Fam","1Story","6","5",2004,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","ALQ",941,"Unf",1158,"Ex","Y",1158,"Gd","Typ",0,"No","Detchd","Unf",576,"TA","TA","Y","None","New","Partial",11.9703503120091,"FALSE","2000s","FALSE",2.5,50
"62","75","RM","NoAlley","Reg","Lvl","Inside","Gtl","IDOTRR","Norm","1Fam","2.5Unf","5","7",1996,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","Fa","No","Unf",0,"Unf",530,"TA","N",1111,"Fa","Typ",0,"No","Detchd","Unf",288,"TA","TA","N","None","WD","Normal",11.5228757958234,"TRUE","1920s","FALSE",1,144
"63","120","RL","NoAlley","IR1","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story","8","5",2006,"Gable","VinylSd","VinylSd","Stone",178,"Gd","TA","PConc","Gd","Gd","Mn","GLQ",24,"Unf",1370,"Ex","Y",1370,"Gd","Typ",1,"Gd","Attchd","RFn",484,"TA","TA","Y","None","WD","Normal",12.2184951655287,"FALSE","2000s","FALSE",2,169
"64","70","RM","NoAlley","IR1","Bnk","Inside","Gtl","OldTown","RRAn","1Fam","2Story","7","6",1950,"Gable","Stucco","Stucco","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",576,"Gd","Y",1710,"TA","Typ",0,"No","Detchd","Unf",480,"TA","TA","Y","GdPrv","WD","Normal",11.8493977015914,"TRUE","1920s","FALSE",2,87
"65","60","RL","NoAlley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story","7","5",1998,"Gable","VinylSd","VinylSd","BrkFace",573,"TA","TA","PConc","Gd","TA","No","GLQ",739,"Unf",1057,"Ex","Y",2034,"Gd","Typ",0,"No","Attchd","RFn",645,"TA","TA","Y","GdPrv","WD","Normal",12.2991075114974,"TRUE","1990s","FALSE",3.5,612
"66","60","RL","NoAlley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story","8","5",2005,"Gable","VinylSd","VinylSd","BrkFace",344,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",1143,"Ex","Y",2473,"Gd","Typ",1,"Gd","BuiltIn","RFn",852,"TA","TA","Y","None","WD","Normal",12.6666570528594,"TRUE","2000s","FALSE",2.5,343
